wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_in_yr,transaction_sum,transaction_avg,mtrf_rain,mtrf_temp,mtrf_level,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_10,seas_prd_11,seas_prd_12
9/06/2021,2021,4,6,24,1059.336685,353.1122284,12,12.3,0.629,0,0,0,0,0,1,0,0,0,0,0,0
10/06/2021,2021,4,6,24,1059.336685,353.1122284,7,12.8,0.586,0,0,0,0,0,1,0,0,0,0,0,0
11/06/2021,2021,4,6,24,1059.336685,353.1122284,1E-12,11.3,0.57,0,0,0,0,0,1,0,0,0,0,0,0
12/06/2021,2021,4,6,24,1059.336685,353.1122284,1E-12,11.7,0.624,0,0,0,0,0,1,0,0,0,0,0,0
13/06/2021,2021,4,6,24,1059.336685,353.1122284,1E-12,12.1,0.65,0,0,0,0,0,1,0,0,0,0,0,0
14/06/2021,2021,4,6,25,1195.843048,353.1122284,1E-12,11.7,0.667,0,0,0,0,0,1,0,0,0,0,0,0
15/06/2021,2021,4,6,25,1139.436188,353.1122284,1E-12,11.6,0.662,0,0,0,0,0,1,0,0,0,0,0,0
16/06/2021,2021,4,6,25,1059.336685,353.1122284,1E-12,11.8,0.651,0,0,0,0,0,1,0,0,0,0,0,0
17/06/2021,2021,4,6,25,922.8303222,353.1122284,4,12.1,0.641,0,0,0,0,0,1,0,0,0,0,0,0
18/06/2021,2021,4,6,25,1060.193039,353.3976797,1E-12,12.6,0.642,0,0,0,0,0,1,0,0,0,0,0,0
19/06/2021,2021,4,6,25,923.7897033,353.591919,1,11.8,0.702,0,0,0,0,0,1,0,0,0,0,0,0
20/06/2021,2021,4,6,25,786.8036499,353.591919,1E-12,11.9,0.922,0,0,0,0,0,1,0,0,0,0,0,0
21/06/2021,2021,4,6,26,844.2942505,353.633372,1E-12,12,0.919,0,0,0,0,0,1,0,0,0,0,0,0
22/06/2021,2021,4,6,26,353.7094422,353.7094422,1E-12,12,0.915,0,0,0,0,0,1,0,0,0,0,0,0
23/06/2021,2021,4,6,26,767.2333527,354.2627373,1E-12,12,0.92,0,0,0,0,0,1,0,0,0,0,0,0
24/06/2021,2021,4,6,26,492.957901,354.7818833,1E-12,12.3,0.923,0,0,0,0,0,1,0,0,0,0,0,0
25/06/2021,2021,4,6,26,354.8600006,354.8600006,2,12.7,0.924,0,0,0,0,0,1,0,0,0,0,0,0
26/06/2021,2021,4,6,26,354.8600006,354.8600006,11,12.9,0.924,0,0,0,0,0,1,0,0,0,0,0,0
27/06/2021,2021,4,6,26,631.3682709,354.8600006,1E-12,12.7,0.922,0,0,0,0,0,1,0,0,0,0,0,0
28/06/2021,2021,4,6,27,354.8600006,354.8600006,1E-12,11.8,0.926,0,0,0,0,0,1,0,0,0,0,0,0
29/06/2021,2021,4,6,27,354.8600006,354.8600006,1E-12,11.7,1.206,0,0,0,0,0,1,0,0,0,0,0,0
30/06/2021,2021,4,6,27,354.8600006,354.8600006,1E-12,11.9,2.303,0,0,0,0,0,1,0,0,0,0,0,0
1/07/2021,2021,1,7,27,354.8600006,354.8600006,1E-12,12.6,2.208,0,0,0,0,0,0,1,0,0,0,0,0
2/07/2021,2021,1,7,27,493.1141358,354.8600006,25,13.2,1.781,0,0,0,0,0,0,1,0,0,0,0,0
3/07/2021,2021,1,7,27,354.8600006,354.8600006,19,13.6,1.525,0,0,0,0,0,0,1,0,0,0,0,0
4/07/2021,2021,1,7,27,891.8765412,385.4235344,2,13.9,1.652,0,0,0,0,0,0,1,0,0,0,0,0
5/07/2021,2021,1,7,28,354.8600006,354.8600006,1E-12,13.7,1.864,0,0,0,0,0,0,1,0,0,0,0,0
6/07/2021,2021,1,7,28,354.8600006,354.8600006,1E-12,13.1,2.252,0,0,0,0,0,0,1,0,0,0,0,0
7/07/2021,2021,1,7,28,354.8600006,354.8600006,1E-12,12.8,2.385,0,0,0,0,0,0,1,0,0,0,0,0
8/07/2021,2021,1,7,28,354.8600006,354.8600006,1E-12,12.6,2.263,0,0,0,0,0,0,1,0,0,0,0,0
9/07/2021,2021,1,7,28,354.8600006,354.8600006,2,12.6,1.848,0,0,0,0,0,0,1,0,0,0,0,0
10/07/2021,2021,1,7,28,631.3682709,354.8600006,18,12.8,1.616,0,0,0,0,0,0,1,0,0,0,0,0
11/07/2021,2021,1,7,28,354.8600006,354.8600006,1E-12,13,2.943,0,0,0,0,0,0,1,0,0,0,0,0
12/07/2021,2021,1,7,29,1064.580002,354.8600006,1E-12,13.7,4.822,0,0,0,0,0,0,1,0,0,0,0,0
13/07/2021,2021,1,7,29,1064.580002,354.8600006,1E-12,13.5,3.102,0,0,0,0,0,0,1,0,0,0,0,0
14/07/2021,2021,1,7,29,1471.342407,353.5266673,1E-12,13.4,2.509,0,0,0,0,0,0,1,0,0,0,0,0
15/07/2021,2021,1,7,29,1341.088272,354.8600006,1E-12,13.5,2.477,0,0,0,0,0,0,1,0,0,0,0,0
16/07/2021,2021,1,7,29,1202.834137,354.8600006,14,14.1,2.248,0,0,0,0,0,0,1,0,0,0,0,0
17/07/2021,2021,1,7,29,1064.580002,354.8600006,3,14.3,2.139,0,0,0,0,0,0,1,0,0,0,0,0
18/07/2021,2021,1,7,29,1064.580002,354.8600006,1E-12,14.1,2.976,0,0,0,0,0,0,1,0,0,0,0,0
19/07/2021,2021,1,7,30,1064.580002,354.8600006,1E-12,13.8,3.409,0,0,0,0,0,0,1,0,0,0,0,0
20/07/2021,2021,1,7,30,1064.580002,354.8600006,1E-12,13.3,2.587,0,0,0,0,0,0,1,0,0,0,0,0
21/07/2021,2021,1,7,30,1064.580002,354.8600006,1E-12,13,2.49,0,0,0,0,0,0,1,0,0,0,0,0
22/07/2021,2021,1,7,30,1064.580811,354.8602702,1E-12,12.8,2.424,0,0,0,0,0,0,1,0,0,0,0,0
23/07/2021,2021,1,7,30,1064.580002,354.8600006,1E-12,12.1,2.097,0,0,0,0,0,0,1,0,0,0,0,0
24/07/2021,2021,1,7,30,1064.580002,354.8600006,8,12,2.06,0,0,0,0,0,0,1,0,0,0,0,0
25/07/2021,2021,1,7,30,926.3258667,354.8600006,1E-12,12,2.029,0,0,0,0,0,0,1,0,0,0,0,0
26/07/2021,2021,1,7,31,1341.088272,354.8600006,1E-12,12,1.981,0,0,0,0,0,0,1,0,0,0,0,0
27/07/2021,2021,1,7,31,1397.088272,366.0600006,1E-12,11.7,1.918,0,0,0,0,0,0,1,0,0,0,0,0
