wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_in_yr_nbr,delivery,mtrf_mintemp,mtrf_maxtemp,mtrf_rain,mtrf_temp9am,mtrf_humi9am,mtrf_wind9am,mtrf_pres9am,mtrf_temp3pm,mtrf_humi3pm,mtrf_wind3pm,mtrf_pres3pm,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_10,seas_prd_11,seas_prd_12
1/09/2022,2022,1,9,36,0.00000001,15,23.4,0,19.2,91,19,1022.4,22.9,63,24,1019.3,0,0,0,0,0,0,0,0,1,0,0,0
2/09/2022,2022,1,9,36,0.00000001,15.6,24.8,0,21.2,76,13,1021,22.7,65,22,1015.6,0,0,0,0,0,0,0,0,1,0,0,0
3/09/2022,2022,1,9,36,0.00000001,18.2,23.8,11.6,20.6,100,13,1011.2,22.2,66,24,1010.1,0,0,0,0,0,0,0,0,1,0,0,0
4/09/2022,2022,1,9,36,0.00000001,12.3,23.7,0,18.5,64,20,1015.5,23.3,45,19,1013.6,0,0,0,0,0,0,0,0,1,0,0,0
5/09/2022,2022,1,9,37,0.00000001,12,22.8,0,18.7,57,20,1020.1,21,49,24,1017.2,0,0,0,0,0,0,0,0,1,0,0,0
6/09/2022,2022,1,9,37,0.00000001,12.7,23,0,19.3,63,20,1021.9,21.5,51,24,1019,0,0,0,0,0,0,0,0,1,0,0,0
7/09/2022,2022,1,9,37,0.00000001,12.5,23.6,0,20.1,65,19,1023,19.3,69,26,1020.2,0,0,0,0,0,0,0,0,1,0,0,0
8/09/2022,2022,1,9,37,0.00000001,12.4,22.6,0,20.2,65,13,1023.2,21.6,53,19,1018.1,0,0,0,0,0,0,0,0,1,0,0,0
9/09/2022,2022,1,9,37,0.00000001,14.7,24.3,0.4,20,87,9,1018.7,22.8,64,26,1014.4,0,0,0,0,0,0,0,0,1,0,0,0
10/09/2022,2022,1,9,37,0.00000001,15.2,27.7,2,20.5,85,7,1016.3,27.2,31,17,1012.1,0,0,0,0,0,0,0,0,1,0,0,0
11/09/2022,2022,1,9,37,0.00000001,14.9,25.3,0.2,19.3,49,13,1018,24.7,30,11,1014,0,0,0,0,0,0,0,0,1,0,0,0
12/09/2022,2022,1,9,38,0.00000001,14.6,23.7,0,19.6,57,11,1019.2,21.4,53,13,1017.1,0,0,0,0,0,0,0,0,1,0,0,0
13/09/2022,2022,1,9,38,0.00000001,12.7,26.3,0,19.8,47,13,1023.1,24.6,35,26,1019.2,0,0,0,0,0,0,0,0,1,0,0,0
14/09/2022,2022,1,9,38,0.00000001,12.7,24.4,0,20.7,66,9,1025.5,23.1,47,17,1021.4,0,0,0,0,0,0,0,0,1,0,0,0
15/09/2022,2022,1,9,38,0.00000001,12.2,24.5,0.2,21.2,56,19,1021.4,22.7,52,22,1016.6,0,0,0,0,0,0,0,0,1,0,0,0
16/09/2022,2022,1,9,38,0.00000001,15.5,25.1,0,22.8,61,37,1014.4,24.1,63,30,1010.5,0,0,0,0,0,0,0,0,1,0,0,0
17/09/2022,2022,1,9,38,0.00000001,20.2,27.2,0.8,23.9,84,22,1013.7,23.9,79,31,1010.9,0,0,0,0,0,0,0,0,1,0,0,0
18/09/2022,2022,1,9,38,0.00000001,12.7,28.6,0.4,22.1,61,9,1017.8,26.7,28,22,1014.2,0,0,0,0,0,0,0,0,1,0,0,0
19/09/2022,2022,1,9,39,0.00000001,14.6,28.3,0,18.9,100,0,1019.2,25.4,71,26,1013.9,0,0,0,0,0,0,0,0,1,0,0,0
20/09/2022,2022,1,9,39,0.00000001,15.9,27.5,11.2,18.4,100,9,1019.6,26.5,29,26,1016.1,0,0,0,0,0,0,0,0,1,0,0,0
21/09/2022,2022,1,9,39,0.00000001,15.1,24.8,0.2,22.8,69,19,1020,23.5,58,13,1017.8,0,0,0,0,0,0,0,0,1,0,0,0
22/09/2022,2022,1,9,39,0.00000001,19.7,23.5,0,22,80,28,1014.4,21.5,100,19,1010.6,0,0,0,0,0,0,0,0,1,0,0,0
23/09/2022,2022,1,9,39,0.00000001,16.3,28.5,18.8,21.3,71,7,1013.1,27.4,37,15,1009,0,0,0,0,0,0,0,0,1,0,0,0
24/09/2022,2022,1,9,39,0.00000001,13.8,28.1,0.2,22.4,56,15,1014.1,27.6,37,15,1009.8,0,0,0,0,0,0,0,0,1,0,0,0
25/09/2022,2022,1,9,39,0.00000001,13.1,28.3,0,23.3,47,13,1016.4,27.9,32,11,1012.7,0,0,0,0,0,0,0,0,1,0,0,0
26/09/2022,2022,1,9,40,0.00000001,13.5,27,0,23.6,63,11,1017.2,24,57,20,1013.4,0,0,0,0,0,0,0,0,1,0,0,0
27/09/2022,2022,1,9,40,0.00000001,15.6,26.6,0,23.7,57,20,1016.4,24.9,52,20,1012.4,0,0,0,0,0,0,0,0,1,0,0,0
28/09/2022,2022,1,9,40,0.00000001,17.8,25.6,0,23.3,73,19,1015.1,22.6,82,20,1012.3,0,0,0,0,0,0,0,0,1,0,0,0
29/09/2022,2022,1,9,40,0.00000001,18.3,22.3,0.2,18.3,58,11,1016.3,21.7,43,17,1014.2,0,0,0,0,0,0,0,0,1,0,0,0
30/09/2022,2022,1,9,40,9197.12,9.9,27,0,21.4,46,11,1017.2,25.9,40,19,1013.9,0,0,0,0,0,0,0,0,1,0,0,0
1/10/2022,2022,2,10,40,0.00000001,13,26.5,0,22,60,19,1017.3,25.1,50,24,1012.6,0,0,0,0,0,0,0,0,0,1,0,0
2/10/2022,2022,2,10,40,0.00000001,16,19.7,1.8,17.2,91,17,1015.7,17.3,94,17,1013.3,0,0,0,0,0,0,0,0,0,1,0,0
3/10/2022,2022,2,10,41,0.00000001,13.7,24.6,4,19.5,70,20,1019.5,22.8,52,31,1016.6,0,0,0,0,0,0,0,0,0,1,0,0
4/10/2022,2022,2,10,41,0.00000001,11.9,24.6,0,21,52,19,1022.4,22.8,40,15,1019.2,0,0,0,0,0,0,0,0,0,1,0,0
5/10/2022,2022,2,10,41,0.00000001,13.8,23.6,1.2,19.7,78,9,1022,23.3,47,20,1019.8,0,0,0,0,0,0,0,0,0,1,0,0
6/10/2022,2022,2,10,41,0.00000001,16,25.7,0,22,66,17,1021.5,24.6,56,22,1017.9,0,0,0,0,0,0,0,0,0,1,0,0
7/10/2022,2022,2,10,41,0.00000001,15.6,25.3,0,22.6,57,22,1020.3,23.8,56,19,1017.1,0,0,0,0,0,0,0,0,0,1,0,0
